==============================================
HEADER ANALYSIS
==============================================

Total Statements : 6871
Unique Headers   : 1607

==============================================
HEADER FREQUENCY
==============================================

  489    QTY.
  429    FREE
  421    -
  380    CLOSING STOCK
  368    OPENING STOCK
  346    RATE
  343    PRODUCT DESCRIPTION
  341    CLOSING VALUE
  321    VALUE
  316    OPENING VALUE
  290    PACK
  287    ISSUE QUANTITY
  286    ISSUE VALUE
  285    RECEIVE QUANTITY
  281    RECEIVE VALUE
  249    PRODUCT NAME
  248    CLOSING
  247    OPENING
  228    SALE
  218    QTY
  201    AMOUNT
  191    PACKING
  183    OTHERS
  181    PURCHASE
  156    ITEM
  136    SALE VALUE
  136    STOCK
  135    MRP
  128    ITEMCODE
  120    EXPIRY STOCK
  110    D E S C R I P T I O N
  102    REPLACE+ OTHERS
   98    LAST MONTH SALE
   96    PRODUCT
   96    RECEIPT
   88    SALES
   86    ( % )
   80    P.RETURN
   80    S.RETURN
   78    BRANCH TOTAL
   78    UNIT
   70    BATCH
   69    ITEM DESCRIPTION
   67    ISSUE
   67    PINCODE
   66    CUSTOMER NAME
   64    RETURN
   63    ---
   63    BILL DATE
   61    BARCODE
   61    DIVISION
   58    AREA NAME
   56    SALE QUANTITY
   55    PTR
   55    TOTAL
   54    PURCHASE QUANTITY
   53    CUSTOMER
   53    FQTY
   51    P/R QUANTITY
   51    SALE RETURN QUANTITY
   51    TOTAL RECEIVE
   49    EXPIRY
   49    OP
   48    CODE
   48    SALE REGISTER DETAILED FROM 01/07/2026 TO 31/07/2026
   47    PRODUCTNAME
   46    ISSUE QTY.
   46    RECEIPT QTY.
   45    COMPANY
   45    TOTAL QTY.
   43    BILL NUMBER
   43    CL.VALUE
   42    BATCHNO
   42    PUR. VALUE
   42    TAX AMOUNT
   41    OPENINGSTOCK
   40    FREE QTY
   40    ITEM NAME
   39    AGE
   39    CITY
   39    DIVISION NAME
   39    NAME
   39    SALEVALUE
   38    INVNO
   37    ADDRESS1
   37    ADDRESS2
   37    PRODUCT_NAME
   37    REPLACEMENT QTY
   36    ADJ
   36    PRODUCT CODE
   36    QUANTITY
   35    CLOSING BALANCE
   35    DATE
   35    MANUFACTURER_DIVISION
   35    MANUFACTURER_NAME
   35    PCODE
   35    TOTALSTOCK
   34    ADDRESS3
   34    JUN
   34    MAY
   32    NETAMT
   32    OP.BAL. QTY.
   32    PURCHASEQUANTITY
   30    AREA
   30    GRSAMT
   30    ITEM CATEGORY
   30    WAREHOUSE
   29    ILASTSALESQTY
   29    ITEM CODE
   29    SKULL_NAMESPACE
   28    FREEQUANTITY
   28    NETAMOUNT
   28    PURC
   27    CL QTY
   27    CL.STOCK AS ON
   27    SUB TOTAL
   26    OTHER
   26    SRATE
   25    ADJUSTMENT
   25    CUSTOMER CODE
   25    DUMP STOCK
   25    FLAG
   25    ORDER QTY
   25    PRODUCT WISE SALE & STOCK FROM 01/07/2026 TO 31/07/2026
   25    PURCHASES
   25    QOH
   24    (Q+F)
   24    BATCH NO
   24    ENTRY DATE
   24    SALEQUANTITY
   23    BRANCH TRANSFER SENT
   23    BRANCH TRANSFER SENT VALUE
   23    CL VALUE
   23    CLOSING STOCK VALUE
   23    CLQTY
